"idade","sexo","grupo","pop","obito","logmx","topals","topals.inf","topals.sup","vand.hat","gomp.hat"
65,"f","atc",53209,373,-4.96040441431012,-4.91302017292964,-4.98298562469611,-4.84305472116316,-4.81995756268269,-4.91316806404867
66,"f","atc",47421,390,-4.80067370842181,-4.80257804186618,-4.85623898610473,-4.74891709762764,-4.77549975042961,-4.801299553439
67,"f","atc",42732,404,-4.66128845510463,-4.69123591080273,-4.73270952780815,-4.64976229379731,-4.70553216981202,-4.68943104282934
68,"f","atc",38079,411,-4.52882501356005,-4.57119377973928,-4.60883493213539,-4.53355262734317,-4.61513738502378,-4.57756253221967
69,"f","atc",32680,396,-4.41310433771946,-4.45635164867583,-4.50073501577609,-4.41196828157556,-4.50976553365393,-4.46569402161001
70,"f","atc",29356,373,-4.36567381402114,-4.33120951761237,-4.38933990271226,-4.27307913251249,-4.3944435761943,-4.35382551100034
71,"f","atc",27431,398,-4.23297703441725,-4.2348823172462,-4.27995901000129,-4.18980562449111,-4.27335527820043,-4.24195700039068
72,"f","atc",24118,352,-4.22708255306544,-4.12855511688003,-4.16521808875941,-4.09189214500065,-4.14973195738598,-4.13008848978101
73,"f","atc",20749,383,-3.99221834254581,-4.02712791651386,-4.06340376941541,-3.99085206361231,-4.02592945293426,-4.01821997917135
74,"f","atc",19134,381,-3.91642276111141,-3.92600071614769,-3.97012780782454,-3.88187362447083,-3.90358335960724,-3.90635146856168
75,"f","atc",18483,404,-3.82319179172153,-3.81847351578152,-3.87537660581532,-3.76157042574771,-3.78377587767369,-3.79448295795202
76,"f","atc",16488,386,-3.75455075310546,-3.70146184443512,-3.74556160912491,-3.65736207974532,-3.66718286757985,-3.68261444734235
77,"f","atc",14106,413,-3.53090792480709,-3.58485017308872,-3.62093339442431,-3.54876695175312,-3.55419131117604,-3.57074593673269
78,"f","atc",12135,394,-3.42749820886277,-3.46683850174232,-3.50302676647235,-3.43065023701229,-3.44498796060707,-3.45887742612302
79,"f","atc",11343,415,-3.30807757232834,-3.34732683039592,-3.39168406399256,-3.30296959679928,-3.33962392752542,-3.34700891551336
80,"f","atc",9838,381,-3.25120834222858,-3.21731515904952,-3.27455081110732,-3.16007950699172,-3.23806067020234,-3.23514040490369
81,"f","atc",8145,369,-3.09436287699562,-3.11089600188994,-3.15563828744698,-3.0661537163329,-3.14020221417765,-3.12327189429403
82,"f","atc",7377,359,-3.02279994239602,-2.99777684473035,-3.03390532735494,-2.96164836210577,-3.0459174503973,-3.01140338368436
83,"f","atc",6378,339,-2.93460974018955,-2.88815768757077,-2.92259756686997,-2.85371780827158,-2.955055398029,-2.8995348730747
84,"f","atc",6000,342,-2.86470401114759,-2.77983853041119,-2.82038956251931,-2.73928749830307,-2.86745553132662,-2.78766636246503
85,"f","atc",5598,401,-2.63620324276883,-2.67011937325161,-2.72188915221023,-2.61834959429298,-2.7829546679727,-2.67579785185537
86,"f","atc",4728,378,-2.52636336346635,-2.54691720390856,-2.59113400368644,-2.50270040413067,-2.70139147476898,-2.5639293412457
87,"f","atc",3929,324,-2.49539670376613,-2.42641503456551,-2.46475852773917,-2.38807154139186,-2.622609330157,-2.45206083063604
88,"f","atc",3251,353,-2.22024986337061,-2.30951286522246,-2.344518640059,-2.27450709038592,-2.54645805943947,-2.34019232002637
89,"f","atc",2642,312,-2.13628829727279,-2.18941069587942,-2.22434875238007,-2.15447263937876,-2.47279490176139,-2.22832380941671
90,"f","atc",2030,246,-2.11045953610347,-2.07170852653637,-2.10986627842465,-2.03355077464809,-2.4014849583937,-2.11645529880704
91,"f","atc",1554,230,-1.9105082220044,-1.95940635719332,-2.00335454240364,-1.915458171983,-2.33240129551496,-2.00458678819738
92,"f","atc",1152,200,-1.7509374747078,-1.84680418785027,-1.89825275104091,-1.79535562465964,-2.26542482148398,-1.89271827758771
93,"f","atc",843,151,-1.71968712118693,-1.73850201850723,-1.79852325676894,-1.67848078024551,-2.20044402150833,-1.78084976697805
94,"f","atc",593,95,-1.83131750739718,-1.63369984916418,-1.70296907860659,-1.56443061972176,-2.13735460674267,-1.66898125636839
95,"f","atc",445,89,-1.6094379124341,-1.53039767982113,-1.60935327474391,-1.45144208489835,-2.07605911679382,-1.55711274575872
96,"f","atc",316,72,-1.47907609457086,-1.43841896473482,-1.50932816469361,-1.36750976477604,-2.01646650200328,-1.44524423514906
97,"f","atc",214,57,-1.3229247471873,-1.34924024964852,-1.4273279949496,-1.27115250434744,-1.95849170308355,-1.33337572453939
98,"f","atc",139,39,-1.27091228700105,-1.26286153456221,-1.36003524475094,-1.16568782437349,-1.90205523955702,-1.22150721392973
99,"f","atc",95,29,-1.18658106161407,-1.17948281947591,-1.30221511594144,-1.05675052301037,-1.84708281419126,-1.10963870332006
100,"f","atc",57,18,-1.15267950993839,-1.1007041043896,-1.25222689441735,-0.949181314361861,-1.79350493768421,-0.997770192710394
101,"f","atc",33,13,-0.931558204004943,-1.0258253893033,-1.20784337703557,-0.843807401571028,-1.74125657583626,-0.885901682100731
102,"f","atc",29,10,-1.06471073699243,-0.955046674216994,-1.16853529798099,-0.741558050453,-1.6902768200798,-0.774033171491066
103,"f","atc",14,4,-1.25276296849537,-0.888767959130688,-1.13432791057515,-0.643208007686222,-1.64050858132608,-0.662164660881401
104,"f","atc",10,6,-0.510825623765991,-0.826789244044383,-1.10481341509503,-0.548765072993737,-1.59189830649896,-0.550296150271736
105,"f","atc",1,2,0.693147180559945,-0.769710528958078,-1.08046870227234,-0.458952355643819,-1.54439571675724,-0.438427639662071
106,"f","atc",1,1,0,-0.717931813871773,-1.06161669502464,-0.374246932718911,-1.49795356619437,-0.326559129052406
107,"f","atc",1,0,-Inf,-0.670553098785468,-1.04730687174962,-0.293799325821315,-1.45252741969813,-0.21469061844274
108,"f","atc",3,0,-Inf,-0.627974383699163,-1.03790482415293,-0.218043943245397,-1.40807544861831,-0.102822107833076
109,"f","atc",0,1,Inf,-0.590995668612858,-1.03418634906173,-0.147804988163982,-1.36455824290407,0.00904640277659087
110,"f","atc",0,0,NA,-0.569216953526553,-1.04573394705468,-0.092699959998429,-1.32193863841717,0.120914913386257
65,"f","total",564792,5823,-4.57464192891779,-4.56492971975446,-4.58255352987236,-4.54730590963655,NA,NA
66,"f","total",543922,6228,-4.46975060025102,-4.48860223580761,-4.50215103374061,-4.47505343787462,NA,NA
67,"f","total",549063,6682,-4.40879584508958,-4.41137475186077,-4.42170924734136,-4.40104025638017,NA,NA
68,"f","total",518011,6673,-4.35192694363378,-4.32544726791392,-4.33440797644059,-4.31648655938726,NA,NA
69,"f","total",478028,6981,-4.22647713519346,-4.24471978396708,-4.25492014802005,-4.2345194199141,NA,NA
70,"f","total",461279,7270,-4.15024677446163,-4.15369230002023,-4.16703625690636,-4.14034834313411,NA,NA
71,"f","total",476572,7939,-4.0948314907204,-4.08092241454055,-4.09126342527408,-4.07058140380701,NA,NA
72,"f","total",439791,8098,-3.9946824964541,-3.99815252906086,-4.0063706012828,-3.98993445683893,NA,NA
73,"f","total",406959,8085,-3.91870195023847,-3.92028264358118,-3.92801968497568,-3.91254560218668,NA,NA
74,"f","total",388229,8414,-3.83169838653734,-3.84271275810149,-3.85187309644005,-3.83355241976293,NA,NA
75,"f","total",421882,9809,-3.76142532249955,-3.75874287262181,-3.77056178449453,-3.74692396074909,NA,NA
76,"f","total",376143,9459,-3.6830027210048,-3.67729464275293,-3.68644699098083,-3.66814229452502,NA,NA
